country,year,military_expenditures_usd_2022,military_expenditures_current_usd,share_GDP,share_govt
Czechoslovakia,2011,,,,
Czechoslovakia,2012,,,,
Czechoslovakia,2013,,,,
Czechoslovakia,2014,,,,
Czechoslovakia,2015,,,,
Czechoslovakia,2016,,,,
Czechoslovakia,2017,,,,
Czechoslovakia,2018,,,,
Czechoslovakia,2019,,,,
Czechoslovakia,2020,,,,
Czechoslovakia,2021,,,,
Czechoslovakia,2022,,,,
Czechoslovakia,2023,,,,
Denmark,1993,4270862198.23781,2682011246.248423,0.019071976696874,0.0315876853437862
Denmark,1994,4163993526.181072,2718790041.7416735,0.0177010988336088,0.0293625742214494
Denmark,1995,4119683269.28261,3117966146.470155,0.016853146650741,0.0287960013979281
Denmark,1996,4132748968.3982077,3086224944.685592,0.0164481665845606,0.0283596682920335
Denmark,1997,4185741260.2998285,2804317082.698661,0.0161596120506504,0.0289041968125948
Denmark,1998,4231934371.1946993,2846065338.174525,0.0160802638812534,0.0290282367374398
Denmark,1999,4206094521.5265284,2784881254.085295,0.0156485472255402,0.0286954132830754
Denmark,2000,4068700480.641377,2392510831.18689,0.0145744405054743,0.0276624322170998
